has_mfa,mfa_coverage,patch_days,training_percent,has_irp,vulnerabilities,employees,industry_code,breach_occurred
1,86,90,56,1,36,98,4,0
0,0,30,44,1,45,224,3,1
0,0,60,28,1,23,453,3,1
1,63,7,17,1,15,287,3,1
1,58,60,35,0,12,456,0,1
1,47,30,80,0,24,483,3,0
1,70,180,39,0,3,490,3,1
0,0,90,16,1,10,212,1,1
0,0,30,76,0,31,83,2,1
0,0,14,74,0,48,34,3,1
1,76,90,45,0,6,110,4,1
0,0,60,34,1,45,185,3,1
0,0,14,46,0,10,436,0,1
1,45,30,10,1,27,126,0,0
1,47,60,24,1,40,175,0,0
1,64,14,46,0,22,50,3,1
1,57,90,22,0,44,438,1,1
1,64,30,17,1,22,353,4,0
1,51,7,14,0,49,433,3,1
1,54,90,69,0,27,375,1,1
0,0,30,82,1,42,129,1,1
1,65,30,10,0,46,106,3,1
1,80,14,45,1,25,154,3,0
1,84,7,44,0,24,225,1,0
1,65,60,75,0,28,238,1,0
0,0,30,72,1,18,322,1,1
1,71,60,32,0,32,139,3,1
1,49,60,18,0,35,361,1,1
1,55,60,43,0,13,386,0,1
1,46,14,55,0,13,327,3,0
0,0,30,87,0,34,481,0,1
1,62,90,13,0,29,146,2,1
1,65,60,39,0,27,333,3,1
0,0,60,84,0,16,346,2,1
0,0,30,81,1,2,282,1,1
0,0,30,12,0,15,126,1,1
1,46,60,23,1,45,315,4,0
1,53,90,69,0,29,377,1,1
0,0,60,86,0,28,103,2,1
1,92,90,54,0,44,177,1,1
1,46,60,43,0,14,451,3,1
1,48,14,54,0,45,212,1,0
1,90,30,70,1,24,350,4,0
0,0,14,92,0,37,158,1,1
1,47,14,25,1,41,411,2,1
0,0,90,75,1,46,192,2,1
1,98,30,49,1,37,422,1,0
1,62,30,26,0,22,161,2,1
1,68,14,43,0,24,83,2,1
1,57,30,25,0,41,374,4,1
0,0,14,69,1,6,410,3,1
0,0,14,75,1,21,283,4,1
0,0,60,75,1,16,51,0,1
0,0,30,99,1,17,221,4,1
1,74,60,22,0,48,110,1,1
0,0,7,65,1,40,54,3,1
1,98,14,40,1,9,91,1,0
1,81,30,43,1,9,26,0,0
1,78,60,48,1,6,82,3,0
1,56,60,76,1,47,23,2,0
1,53,30,17,1,49,442,4,0
1,70,30,96,0,37,166,1,0
0,0,60,87,0,26,232,0,1
1,74,7,64,0,32,141,2,0
1,83,30,36,0,0,347,4,0
1,99,90,62,1,43,413,2,0
1,84,60,48,0,33,385,4,1
0,0,30,74,0,3,385,3,1
1,42,90,26,1,16,56,2,1
0,0,60,39,0,3,116,2,1
0,0,30,62,1,42,117,2,1
1,79,60,22,1,25,274,3,0
1,65,60,30,1,3,214,0,0
0,0,30,28,0,0,88,4,1
0,0,30,62,0,6,164,2,1
0,0,30,28,0,29,280,3,1
0,0,60,66,1,49,485,0,1
1,54,30,34,1,8,494,4,0
1,95,90,95,1,34,256,3,0
1,88,60,40,1,7,28,4,0
0,0,7,90,0,23,355,2,1
0,0,60,64,1,18,445,0,1
1,61,30,32,0,35,35,3,1
1,64,60,41,0,49,226,0,1
1,52,60,71,1,42,163,2,0
1,57,14,83,0,26,163,0,0
0,0,30,19,1,31,183,0,1
0,0,14,81,1,13,101,1,1
0,0,7,63,1,17,442,0,1
1,81,30,61,0,27,347,4,0
1,83,30,29,1,28,489,3,0
0,0,180,41,0,15,190,1,1
0,0,30,23,0,34,140,3,1
1,74,30,59,1,46,459,3,0
0,0,60,37,0,30,490,2,1
1,73,7,62,0,3,307,2,0
1,69,180,33,1,36,284,1,1
1,98,60,88,1,16,282,2,0
1,94,60,31,0,38,426,2,1
1,52,14,39,1,47,85,2,0
1,52,30,72,0,45,186,3,0
0,0,30,13,1,25,193,1,1
1,71,90,86,1,47,328,3,1
1,71,7,68,1,38,140,4,0
0,0,30,96,1,40,372,3,1
1,98,180,17,0,3,58,4,1
1,78,30,91,1,29,64,0,0
0,0,30,21,0,29,163,0,1
1,91,14,40,0,21,364,4,0
1,68,180,87,0,10,209,4,0
1,88,7,43,0,1,317,3,0
1,68,60,91,1,43,365,4,0
0,0,60,84,1,11,382,1,1
0,0,14,85,0,29,127,0,1
0,0,60,58,1,35,272,0,1
0,0,7,88,0,17,55,4,1
0,0,30,66,1,25,311,2,1
1,83,60,35,0,6,365,2,0
0,0,90,27,0,0,409,4,1
1,96,60,95,0,25,417,1,0
0,0,30,47,0,22,198,2,1
0,0,14,90,0,25,319,4,1
1,64,7,96,0,44,327,1,0
1,78,14,97,0,5,138,1,0
1,59,14,59,1,5,58,3,0
1,44,30,17,1,43,34,1,1
0,0,30,50,1,7,275,2,1
0,0,30,15,0,23,127,2,1
1,88,14,78,1,21,473,4,0
1,42,30,53,0,18,153,4,0
1,84,90,73,0,36,451,1,1
1,53,30,38,0,17,209,0,1
1,95,90,37,0,30,166,3,1
1,69,90,20,1,36,496,0,1
0,0,14,74,0,29,357,1,1
1,43,60,28,0,41,143,1,1
1,57,60,18,1,32,409,0,0
0,0,60,36,1,9,157,3,1
1,64,30,43,0,36,345,0,1
0,0,30,53,0,11,80,4,1
0,0,30,77,1,29,242,2,1
1,92,30,91,0,26,343,4,0
1,85,60,24,0,38,308,2,0
1,54,60,60,1,8,163,1,0
1,48,30,22,0,20,99,3,1
1,54,60,92,0,11,343,0,1
0,0,14,58,0,28,208,3,1
1,96,14,79,0,32,170,0,0
1,63,90,65,1,42,35,4,1
1,43,30,85,1,14,130,4,0
0,0,7,60,1,1,310,0,1
1,98,14,46,1,38,221,3,0
1,97,14,26,1,43,72,0,0
1,76,180,67,0,17,460,1,1
0,0,60,96,0,2,445,4,1
1,82,90,99,0,6,77,1,0
0,0,60,38,0,42,262,4,1
0,0,30,42,0,17,419,4,1
1,78,30,69,1,43,468,2,0
0,0,60,98,1,37,11,1,1
1,85,14,64,0,36,407,1,0
0,0,90,19,0,32,117,2,1
0,0,90,56,1,43,295,3,1
1,52,30,32,0,30,58,1,1
1,73,180,94,1,10,149,0,0
0,0,90,30,0,3,227,2,1
1,46,60,22,0,17,53,1,1
1,91,14,42,0,3,426,3,0
1,43,30,33,0,48,278,1,1
1,98,30,20,0,33,87,4,0
0,0,14,26,0,28,225,0,1
1,59,7,77,0,23,391,2,0
1,68,60,56,0,21,107,4,0
1,93,14,34,0,1,245,3,0
0,0,60,82,1,43,291,4,1
1,90,90,30,1,5,158,4,0
0,0,90,93,0,41,421,3,1
1,85,30,92,1,24,313,4,0
0,0,90,92,1,20,493,2,1
1,82,7,21,0,15,433,1,0
1,73,7,46,0,30,75,4,1
1,96,60,51,0,13,243,2,0
0,0,30,26,1,38,466,1,1
0,0,30,57,1,27,96,1,1
1,88,60,37,1,31,88,4,0
0,0,14,50,1,27,214,2,1
0,0,14,56,1,48,288,4,1
1,95,30,27,1,8,346,3,0
1,45,60,87,0,44,263,1,0
1,44,60,80,0,21,313,4,0
1,44,30,22,1,31,389,1,0
0,0,30,91,1,4,139,2,0
0,0,14,22,0,22,93,0,1
0,0,7,40,1,4,285,4,1
1,88,60,11,0,41,196,4,0
1,48,30,25,1,31,55,1,1
0,0,14,18,1,9,396,2,1
0,0,60,82,1,38,192,3,1
0,0,60,47,1,14,277,2,1
0,0,60,84,0,6,305,4,1
0,0,14,63,0,28,331,3,1
1,81,14,65,0,46,109,2,0
1,74,14,95,1,2,87,0,0
0,0,14,96,0,18,281,1,1
0,0,60,54,0,9,348,2,1
1,56,90,43,0,27,171,2,1
1,63,60,18,1,28,53,0,1
0,0,60,97,1,14,247,4,1
1,71,30,17,0,34,143,1,1
1,74,60,16,0,5,470,2,0
1,77,30,45,1,11,201,3,0
0,0,30,27,1,46,365,2,1
0,0,30,12,1,37,287,1,1
1,86,14,37,0,12,27,2,0
0,0,30,79,1,28,21,0,1
1,48,180,53,0,18,189,2,1
1,43,14,30,0,2,132,2,1
0,0,14,37,0,7,255,3,1
0,0,30,63,0,7,231,0,1
0,0,60,63,1,19,382,0,1
0,0,60,74,0,46,60,2,1
1,80,60,30,1,3,497,3,0
1,95,14,22,0,20,80,2,0
1,42,60,66,0,2,489,2,0
1,98,30,58,1,44,57,1,0
1,67,90,63,0,7,28,1,0
0,0,60,19,0,22,271,3,1
1,48,14,62,1,15,93,4,0
0,0,7,53,0,12,164,1,1
0,0,7,56,0,2,62,4,1
0,0,30,62,0,47,116,0,1
1,51,30,83,1,8,366,1,0
1,81,60,55,1,13,313,1,0
1,48,30,22,1,12,144,3,0
1,54,30,46,0,6,452,4,0
0,0,14,33,1,14,78,1,1
1,64,14,11,0,6,20,1,0
1,44,90,95,1,37,152,3,1
0,0,14,90,0,33,201,3,1
1,98,60,23,1,40,396,4,0
0,0,90,19,1,21,387,0,1
0,0,60,44,1,23,78,0,1
0,0,90,34,1,48,32,2,1
1,54,30,12,0,36,190,1,1
1,77,180,26,0,43,302,4,1
0,0,14,21,0,0,18,1,1
1,98,14,63,0,9,280,4,0
0,0,60,33,0,42,396,4,1
0,0,90,38,0,15,102,4,1
0,0,90,52,0,45,463,1,1
1,57,7,34,0,7,26,3,0
1,45,30,69,1,48,163,1,0
0,0,90,99,0,24,414,4,1
1,99,30,74,1,49,337,2,0
1,87,60,93,0,11,158,0,0
1,52,90,37,0,24,386,4,1
0,0,30,25,1,16,276,2,1
0,0,30,56,1,25,431,3,1
1,52,30,90,0,45,337,4,0
1,56,14,67,0,47,115,2,0
0,0,90,85,1,13,481,4,1
0,0,30,36,0,40,390,1,1
1,84,90,62,0,35,44,2,1
1,71,14,51,0,22,128,1,1
0,0,180,68,0,42,23,1,1
0,0,30,56,0,5,23,2,1
0,0,7,43,1,46,275,0,1
0,0,7,46,0,4,149,2,1
1,95,60,15,0,42,303,0,0
1,79,60,16,1,24,373,4,1
0,0,90,34,1,17,128,4,1
0,0,14,42,1,12,247,2,1
0,0,7,64,0,42,43,4,1
0,0,30,67,0,13,178,3,1
1,84,30,16,0,27,19,1,0
1,72,30,66,0,17,131,1,0
0,0,180,21,0,27,410,0,1
0,0,180,25,1,26,154,4,1
0,0,90,89,1,31,460,0,1
0,0,60,52,1,46,455,1,1
0,0,30,86,1,8,232,1,1
1,67,30,16,0,39,380,4,1
1,72,30,60,0,31,266,3,0
1,98,90,82,1,19,277,3,0
1,98,7,41,0,27,368,4,1
1,87,30,84,0,32,13,4,0
1,80,7,17,1,3,435,0,0
1,52,30,96,1,45,406,4,0
1,82,90,98,1,33,363,3,0
1,84,60,81,1,47,115,4,0
1,64,14,54,0,2,94,0,0
1,92,180,95,1,25,223,0,0
0,0,60,68,1,7,130,0,0
1,75,7,13,0,5,141,0,0
1,66,30,76,0,15,347,2,0
1,77,30,38,1,23,206,4,1
0,0,7,38,1,47,28,1,1
1,46,180,37,1,38,139,4,1
0,0,30,86,1,29,21,2,1
1,82,90,88,1,44,90,0,0
